experiment,data,model,lr,version,dev_det_precision,dev_det_recall,dev_det_f1,dev_det_auc,det_threshold,test_det_precision,test_det_recall,test_det_f1,test_det_auc,dev_phase_precision,dev_phase_recall,dev_phase_f1,phase_threshold,dev_phase_mcc,phase_threshold_mcc,test_phase_precision,test_phase_recall,test_phase_f1,test_phase_mcc,dev_P_mean_s,dev_P_std_s,dev_P_mae_s,dev_S_mean_s,dev_S_std_s,dev_S_mae_s,test_P_mean_s,test_P_std_s,test_P_mae_s,test_S_mean_s,test_S_std_s,test_S_mae_s
geofon_eqtransformer,geofon,eqtransformer,0.001,1,0.9589830508474576,0.9196676900848835,0.9389139854337604,0.980983836566839,0.78057474,0.9472294872574661,0.9027116011082902,0.924434894102004,0.9740307173421089,0.9761593504885097,1.0,0.9879358668593213,8265370400000000.0,0.0,2.136922e+31,0.9852687839568885,0.9999439631501675,0.9925521322928197,0.0,0.23364329642290507,1.4604289611479302,0.7194888689338962,-0.33236331024530974,5.540567298535258,4.895696311688312,0.24255843009402941,1.5069906145865708,0.7331684754838782,-1.2351747556221886,5.504971206153162,4.833834770614693
geofon_eqtransformer,geofon,eqtransformer,0.001,6,0.9631073674918159,0.9457829149358858,0.954366525732614,0.9903295068530118,0.9230692,0.9535425582501189,0.9298971701503611,0.9415714377945639,0.9858086821548725,0.9930256194581712,0.9985550660792951,0.9957826667603853,1.1988913,0.8030722505739027,2.1624706,0.9968865843142086,0.9976016228271711,0.9972439753974389,0.7913177071916817,0.09649193078413855,0.9488901353633811,0.42724839238762924,0.19983005194805242,1.831889578072467,1.1393241702741708,0.11343574301500627,0.9597184347164128,0.42289710083270754,0.08842344527736161,1.529027497423363,0.8649557541229385
geofon_eqtransformer-ft,geofon,eqtransformer-ft,0.001,0,0.9709381561015139,0.9521401480946361,0.9614472772367509,0.9925186954860564,0.8798319,0.9631620252562486,0.9390324487879526,0.950944193663894,0.9889308787203678,0.9943774818146678,0.9972511013215859,0.9958122184684685,1.8646002,0.8110417884794916,1.4852037,0.9974311514947557,0.9965145079404216,0.9969726190209226,0.8056027614752668,0.12189598364757466,0.9222452343513103,0.41556408711893167,-0.1134744213564209,1.8739635408862325,1.1260559422799423,0.13477838593699173,0.954963601366655,0.42175176332276093,-0.10093187706146899,1.5699140026217604,0.8624829415292352
geofon_seismoe,geofon,seismoe,0.001,0,0.5006515129578688,0.9992414664981036,0.6670765966168722,0.6144741478587467,0.00048793427,0.5005897082832227,0.9988638866668985,0.6669375875655048,0.6178819739464242,0.9927815544186699,0.9984845814977974,0.995624901164936,1.4106795,0.7919148975060782,3.055833,0.9965291384425908,0.9975119638674392,0.9970203089469144,0.7728477304208993,0.266972988052861,3.491726836839005,2.537152815154195,-0.05229116017315973,1.6064191655173403,0.9199427532467533,0.19270222065069956,3.411647963804261,2.437007663151288,0.11634698350824615,1.4882974494457342,0.7895238230884555
geofon_seismoe,geofon,seismoe,0.001,2,0.5012272504136288,0.9957738847751489,0.6668117940159156,0.616646870035116,0.00029352,0.50121527980649,0.9945049212256113,0.6665164541029396,0.6243414321639118,0.9931566941568696,0.9973568281938326,0.9952523298751539,1.2798499,0.7839453596004893,1.6017942,0.9970847769293731,0.9966377890100531,0.996861232862892,0.7853036702811479,0.21720171051982134,3.308554662683799,2.303438210748914,0.1389353910533915,1.5368693819730388,0.8713284329004329,0.17085849621751223,3.2207447614208733,2.2114128700953746,0.1804249445277364,1.4174872982060205,0.7557240914542728
geofon_seismoe-test,geofon,seismoe-test,0.001,1,0.5002983131745946,0.9995304316416832,0.6668273169791314,0.6297019934740403,0.00019124431,0.5003746841325627,0.9985856548302207,0.6666847262426279,0.6343085572305206,0.9937822742122457,0.9970044052863436,0.9953907322050597,1.7809488,0.7903209899249604,1.6005585,0.9972850475677616,0.9962679458011588,0.9967762372240879,0.7930155139656894,0.21342303210572444,3.3065383113372513,2.3019012090925264,0.12148950360750409,1.4861628634402724,0.8663008917748919,0.18049537743059796,3.2229169090439145,2.213059225750053,0.1872465337331337,1.3841596933003837,0.7505623598200899
geofon_seismoe-trial,geofon,seismoe-trial,0.001,0,0.5009879452551437,0.9982662091385227,0.6671575135787569,0.6232415016244569,0.00022966102,0.5012585359032325,0.997345204558365,0.667191444314758,0.6311436260629232,0.9930587204206837,0.9983083700440528,0.9956766256590509,0.39910385,0.7998844354116671,0.80333185,0.9967639352339148,0.9976464523070371,0.9972049985156806,0.8014420871533682,0.15702162241409448,3.3034852087526336,2.298432118343628,0.16844477056277105,1.6025025415362146,0.9049154660894658,0.1201002055655795,3.2170744159584674,2.2095454187633785,0.20963034182908571,1.3796384134329478,0.7488040239880057
stead_eqtransformer,stead,eqtransformer,0.001,1,0.9995534674225363,0.9995922805110085,0.9995728735899974,0.9998725337537357,0.7910517,0.9993983386383045,0.9995050321729088,0.9994516825581677,0.9999479948515978,0.9998769533653254,0.9998461964379095,0.9998615746650875,1.0755126,0.998004340532999,0.5589874,0.9998166399266559,0.9998930317848411,0.9998548343966077,0.9982184266925556,0.009832863914608242,0.18985418999624437,0.06552830400812083,0.008941874640683108,0.22786212066540668,0.1012323820383835,0.009805984963325163,0.1903163156348597,0.06574242417481663,0.007108416826064425,0.2308761414107415,0.10216544405930653
stead_seismoe,stead,seismoe,0.001,3,0.9995535454316051,0.999767017434862,0.9996602700367879,0.9999633620915201,0.9140317,0.9994275846010555,0.9997670739637218,0.9995973004575249,0.9999809349933697,0.9997232131873539,0.9999384785751638,0.9998308342945021,1.0860331,0.9981080992564768,0.59481376,0.9998471999388799,0.9999235941320294,0.9998853955762692,0.9984635504743632,0.00703733037005135,0.18637675377444324,0.059921514134547355,0.015441916913256663,0.2364095618344656,0.1004268439930673,0.006831198899755481,0.18801939469470427,0.06017305883251834,0.014058230304247188,0.23239161345744733,0.10051521406152578
stead_seismoe-test,stead,seismoe-test,0.001,0,0.9996699285492389,0.9996311109385314,0.9996505193670517,0.9998715970475932,0.8151782,0.9994468919207405,0.9996117899395363,0.9995293341290983,0.9999595569141719,0.9999692317159472,0.9997231535882372,0.9998461775111521,1.2889537,0.998004340532999,0.5925493,0.9998777244520527,0.9996638141809291,0.999770757874467,0.9982442157457218,0.0004671498046694556,0.1907921437814703,0.06600156636623704,0.0031198844479201735,0.2312354203433958,0.10120267667822118,0.0005417734718826202,0.18747946692511908,0.0660087847799511,0.0010056131865112336,0.22989513430501884,0.1018246931742526
